VARIABLE,IMPORTANCE
INCOME,0.0779671792159
BLUEBOOK,0.0778060082083
AGE,0.070812644617
TRAVTIME,0.0703507453432
HOME_VAL,0.0665854721864
OLDCLAIM,0.0543842933039
CAR_AGE,0.0495685712511
MVR_PTS,0.0491795262932
YOJ,0.0490176057243
TIF,0.0439700436802
CLM_FREQ,0.0349493240696
URBANICITY_Highly Urban/ Urban,0.0267120948795
HOMEKIDS,0.0236380506967
URBANICITY_z_Highly Rural/ Rural,0.0228304121257
KIDSDRIV,0.0163351039559
CAR_TYPE_Minivan,0.0149887095617
CAR_USE_Commercial,0.0125899046636
EDUCATION_z_High School,0.0125506834773
CAR_USE_Private,0.011252106017
JOB_Manager,0.0107380697854
REVOKED_No,0.0105036163003
JOB_z_Blue Collar,0.0103946215601
MSTATUS_z_No,0.0101303085383
CAR_TYPE_z_SUV,0.0101230823802
EDUCATION_Bachelors,0.0100777131683
MSTATUS_Yes,0.010059991622
PARENT1_Yes,0.00932970296628
REVOKED_Yes,0.00931001568081
SEX_z_F,0.0092006675213
RED_CAR_no,0.00875662797836
CAR_TYPE_Sports Car,0.00866752820481
SEX_M,0.00846672244966
PARENT1_No,0.00846372760448
CAR_TYPE_Pickup,0.00838169856575
RED_CAR_yes,0.00817230404143
JOB_Clerical,0.00793205963815
EDUCATION_<High School,0.00786586082962
EDUCATION_Masters,0.00783059113143
JOB_Professional,0.00716286517554
JOB_Student,0.0066640110345
CAR_TYPE_Van,0.00589040831761
EDUCATION_PhD,0.00504343331358
JOB_Lawyer,0.00500287180853
JOB_Home Maker,0.00483636822281
CAR_TYPE_Panel Truck,0.00385446676467
JOB_Doctor,0.00165218612559
